住宅價格月指數類別,月指數,季移動平均數,半年移動平均數,月指數變動率,季移動平均數變動率,半年移動平均數變動率,標準住宅總價,標準住宅單價
全市公寓,98.93 ,0,0.00 ,0,0,0,1281.00 ,42.68 
全市公寓,98.93 ,0.00 ,0.00 ,0.0001,0,0,1281.00 ,42.69 
全市公寓,98.47 ,98.78 ,0.00 ,-0.0047,0,0,1275.00 ,42.49 
全市公寓,98.01 ,98.47 ,0.00 ,-0.0047,-0.0031,0,1269.00 ,42.29 
全市公寓,99.13 ,98.54 ,0.00 ,0.0114,0.0007,0,1283.00 ,42.77 
全市公寓,97.39 ,98.18 ,98.48 ,-0.0175,-0.0037,0,1261.00 ,42.02 
全市公寓,96.50 ,97.67 ,98.07 ,-0.0091,-0.0051,-0.0041,1249.00 ,41.64 
全市公寓,101.90 ,98.60 ,98.57 ,0.0559,0.0095,0.005,1319.00 ,43.97 
全市公寓,105.20 ,101.20 ,99.69 ,0.0324,0.0264,0.0114,1362.00 ,45.39 
全市公寓,104.59 ,103.90 ,100.79 ,-0.0058,0.0266,0.011,1354.00 ,45.13 
全市公寓,104.64 ,104.81 ,101.70 ,0.0005,0.0088,0.0091,1354.00 ,45.15 
全市公寓,107.24 ,105.49 ,103.34 ,0.0248,0.0065,0.0161,1388.00 ,46.27 
全市公寓,108.02 ,106.63 ,105.26 ,0.0073,0.0108,0.0186,1398.00 ,46.61 
全市公寓,108.70 ,107.99 ,106.40 ,0.0062,0.0127,0.0108,1407.00 ,46.90 
全市公寓,109.88 ,108.87 ,107.18 ,0.0108,0.0081,0.0073,1422.00 ,47.41 
全市公寓,109.05 ,109.21 ,107.92 ,-0.0075,0.0031,0.0069,1412.00 ,47.05 
全市公寓,108.56 ,109.16 ,108.57 ,-0.0044,-0.0004,0.0061,1405.00 ,46.84 
全市公寓,111.93 ,109.85 ,109.36 ,0.031,0.0063,0.0072,1449.00 ,48.29 
全市公寓,111.39 ,110.63 ,109.92 ,-0.0047,0.0071,0.0051,1442.00 ,48.06 
全市公寓,111.19 ,111.50 ,110.33 ,-0.0019,0.0079,0.0038,1439.00 ,47.97 
全市公寓,112.43 ,111.67 ,110.76 ,0.0111,0.0015,0.0039,1455.00 ,48.51 
全市公寓,114.64 ,112.75 ,111.69 ,0.0197,0.0097,0.0084,1484.00 ,49.46 
全市公寓,109.76 ,112.27 ,111.89 ,-0.0426,-0.0042,0.0018,1421.00 ,47.36 
全市公寓,109.65 ,111.35 ,111.51 ,-0.001,-0.0083,-0.0034,1419.00 ,47.31 
全市公寓,108.51 ,109.31 ,111.03 ,-0.0103,-0.0183,-0.0043,1405.00 ,46.82 
全市公寓,108.52 ,108.89 ,110.58 ,0,-0.0038,-0.004,1405.00 ,46.82 
全市公寓,109.53 ,108.85 ,110.10 ,0.0094,-0.0003,-0.0044,1418.00 ,47.26 
全市公寓,109.42 ,109.16 ,109.23 ,-0.001,0.0028,-0.0079,1416.00 ,47.21 
全市公寓,109.54 ,109.50 ,109.19 ,0.0011,0.0031,-0.0003,1418.00 ,47.26 
全市公寓,109.55 ,109.50 ,109.18 ,0.0001,0.0001,-0.0001,1418.00 ,47.27 
全市公寓,111.39 ,110.16 ,109.66 ,0.0168,0.006,0.0044,1442.00 ,48.06 
全市公寓,108.54 ,109.83 ,109.66 ,-0.0255,-0.003,0,1405.00 ,46.83 
全市公寓,107.01 ,108.98 ,109.24 ,-0.0141,-0.0077,-0.0038,1385.00 ,46.17 
全市公寓,110.07 ,108.54 ,109.35 ,0.0285,-0.0041,0.001,1425.00 ,47.49 
全市公寓,111.24 ,109.44 ,109.64 ,0.0107,0.0083,0.0026,1440.00 ,48.00 
全市公寓,110.22 ,110.51 ,109.75 ,-0.0091,0.0098,0.001,1427.00 ,47.56 
全市公寓,112.63 ,111.37 ,109.95 ,0.0218,0.0077,0.0019,1458.00 ,48.60 
全市公寓,110.14 ,111.00 ,110.22 ,-0.0221,-0.0033,0.0024,1426.00 ,47.52 
全市公寓,107.79 ,110.19 ,110.35 ,-0.0213,-0.0073,0.0012,1395.00 ,46.51 
全市公寓,108.83 ,108.92 ,110.14 ,0.0096,-0.0115,-0.0019,1409.00 ,46.96 
全市公寓,109.65 ,108.76 ,109.88 ,0.0075,-0.0015,-0.0024,1419.00 ,47.31 
全市公寓,107.58 ,108.69 ,109.44 ,-0.0189,-0.0007,-0.004,1393.00 ,46.42 
全市公寓,108.30 ,108.51 ,108.72 ,0.0068,-0.0016,-0.0066,1402.00 ,46.73 
全市公寓,106.74 ,107.54 ,108.15 ,-0.0145,-0.0089,-0.0052,1382.00 ,46.05 
全市公寓,105.66 ,106.90 ,107.79 ,-0.0101,-0.0059,-0.0033,1368.00 ,45.59 
全市公寓,105.68 ,106.03 ,107.27 ,0.0002,-0.0082,-0.0049,1368.00 ,45.60 
全市公寓,105.88 ,105.74 ,106.64 ,0.0019,-0.0027,-0.0058,1371.00 ,45.69 
全市公寓,102.22 ,104.60 ,105.75 ,-0.0346,-0.0108,-0.0084,1323.00 ,44.11 
全市公寓,100.13 ,102.74 ,104.39 ,-0.0205,-0.0177,-0.0129,1296.00 ,43.20 
全市公寓,102.18 ,101.51 ,103.63 ,0.0205,-0.012,-0.0073,1323.00 ,44.09 
全市公寓,101.90 ,101.40 ,103.00 ,-0.0027,-0.0011,-0.0061,1319.00 ,43.97 
全市公寓,98.89 ,100.99 ,101.87 ,-0.0296,-0.0041,-0.011,1280.00 ,42.67 
全市公寓,97.13 ,99.31 ,100.41 ,-0.0177,-0.0167,-0.0143,1257.00 ,41.91 
全市公寓,97.84 ,97.95 ,99.68 ,0.0073,-0.0136,-0.0073,1266.00 ,42.21 
全市公寓,101.17 ,98.71 ,99.85 ,0.0341,0.0078,0.0017,1310.00 ,43.65 
全市公寓,100.31 ,99.77 ,99.54 ,-0.0085,0.0107,-0.0031,1298.00 ,43.28 
全市公寓,100.57 ,100.68 ,99.32 ,0.0025,0.0091,-0.0022,1302.00 ,43.39 
全市公寓,103.21 ,101.36 ,100.04 ,0.0263,0.0068,0.0073,1336.00 ,44.53 
全市公寓,104.57 ,102.78 ,101.28 ,0.0131,0.014,0.0124,1354.00 ,45.12 
全市公寓,106.28 ,104.69 ,102.68 ,0.0163,0.0185,0.0139,1376.00 ,45.86 
全市公寓,102.09 ,104.31 ,102.84 ,-0.0394,-0.0036,0.0015,1321.00 ,44.05 
全市公寓,105.99 ,104.79 ,103.78 ,0.0382,0.0045,0.0092,1372.00 ,45.73 
全市公寓,102.56 ,103.55 ,104.12 ,-0.0323,-0.0118,0.0032,1328.00 ,44.25 
全市公寓,105.97 ,104.84 ,104.58 ,0.0332,0.0125,0.0044,1372.00 ,45.72 
全市公寓,103.18 ,103.90 ,104.34 ,-0.0263,-0.0089,-0.0022,1336.00 ,44.52 
全市公寓,99.32 ,102.82 ,103.18 ,-0.0375,-0.0104,-0.0111,1286.00 ,42.85 
全市公寓,97.50 ,100.00 ,102.42 ,-0.0183,-0.0274,-0.0074,1262.00 ,42.07 
全市公寓,99.46 ,98.76 ,101.33 ,0.0201,-0.0124,-0.0106,1287.00 ,42.92 
全市公寓,101.66 ,99.54 ,101.18 ,0.0221,0.0079,-0.0015,1316.00 ,43.86 
全市公寓,100.38 ,100.50 ,100.25 ,-0.0126,0.0096,-0.0092,1299.00 ,43.31 
全市公寓,99.23 ,100.43 ,99.59 ,-0.0114,-0.0008,-0.0066,1284.00 ,42.82 
全市公寓,97.97 ,99.20 ,99.37 ,-0.0127,-0.0122,-0.0023,1268.00 ,42.27 
全市公寓,99.69 ,98.96 ,99.73 ,0.0175,-0.0023,0.0037,1290.00 ,43.01 
全市公寓,99.63 ,99.09 ,99.76 ,-0.0006,0.0013,0.0003,1290.00 ,42.99 
全市公寓,100.17 ,99.83 ,99.51 ,0.0054,0.0074,-0.0025,1297.00 ,43.22 
全市公寓,103.73 ,101.18 ,100.07 ,0.0356,0.0135,0.0056,1343.00 ,44.76 
全市公寓,101.25 ,101.72 ,100.41 ,-0.0239,0.0054,0.0034,1311.00 ,43.69 
全市公寓,100.24 ,101.74 ,100.78 ,-0.01,0.0002,0.0038,1298.00 ,43.25 
全市公寓,102.10 ,101.20 ,101.19 ,0.0186,-0.0053,0.004,1322.00 ,44.05 
全市公寓,103.64 ,101.99 ,101.86 ,0.015,0.0078,0.0066,1341.00 ,44.72 
全市公寓,102.91 ,102.88 ,102.31 ,-0.007,0.0087,0.0045,1332.00 ,44.40 
全市公寓,101.70 ,102.75 ,101.97 ,-0.0118,-0.0013,-0.0033,1316.00 ,43.88 
全市公寓,101.01 ,101.87 ,101.93 ,-0.0068,-0.0085,-0.0004,1307.00 ,43.58 
全市公寓,99.38 ,100.70 ,101.79 ,-0.0161,-0.0115,-0.0014,1286.00 ,42.88 
全市公寓,99.08 ,99.82 ,101.29 ,-0.003,-0.0087,-0.0049,1283.00 ,42.75 
全市公寓,98.84 ,99.10 ,100.49 ,-0.0024,-0.0072,-0.0079,1279.00 ,42.65 
全市公寓,102.13 ,100.02 ,100.36 ,0.0333,0.0092,-0.0013,1322.00 ,44.07 
全市公寓,104.12 ,101.70 ,100.76 ,0.0195,0.0168,0.004,1348.00 ,44.93 
全市公寓,103.60 ,103.28 ,101.19 ,-0.005,0.0156,0.0043,1341.00 ,44.70 
全市公寓,103.07 ,103.60 ,101.81 ,-0.0051,0.003,0.0061,1334.00 ,44.47 
全市公寓,101.35 ,102.67 ,102.19 ,-0.0167,-0.0089,0.0037,1312.00 ,43.73 
全市公寓,100.73 ,101.72 ,102.50 ,-0.0061,-0.0093,0.0031,1304.00 ,43.46 
全市公寓,99.83 ,100.64 ,102.12 ,-0.0089,-0.0106,-0.0037,1292.00 ,43.07 
全市公寓,101.14 ,100.57 ,101.62 ,0.0131,-0.0007,-0.0049,1309.00 ,43.64 
全市公寓,101.68 ,100.88 ,101.30 ,0.0053,0.0031,-0.0031,1316.00 ,43.87 
全市公寓,100.85 ,101.22 ,100.93 ,-0.0082,0.0034,-0.0037,1305.00 ,43.51 
全市公寓,100.98 ,101.17 ,100.87 ,0.0013,-0.0005,-0.0006,1307.00 ,43.57 
全市公寓,102.64 ,101.49 ,101.19 ,0.0164,0.0032,0.0032,1329.00 ,44.29 
全市公寓,103.72 ,102.45 ,101.84 ,0.0105,0.0094,0.0064,1343.00 ,44.75 
全市公寓,106.06 ,104.14 ,102.66 ,0.0226,0.0165,0.0081,1373.00 ,45.76 
全市公寓,105.82 ,105.20 ,103.35 ,-0.0023,0.0102,0.0067,1370.00 ,45.66 
全市公寓,105.27 ,105.72 ,104.08 ,-0.0052,0.0049,0.0071,1363.00 ,45.42 
全市公寓,105.89 ,105.66 ,104.90 ,0.0059,-0.0005,0.0079,1371.00 ,45.69 
全市大樓,83.61 ,0.00 ,0.00 ,0,0,0,1747.00 ,48.95 
全市大樓,83.92 ,0.00 ,0.00 ,0.0038,0,0,1754.00 ,49.13 
全市大樓,84.44 ,83.99 ,0.00 ,0.0062,0,0,1765.00 ,49.43 
全市大樓,84.10 ,84.15 ,0.00 ,-0.004,0.002,0,1758.00 ,49.23 
全市大樓,88.15 ,85.56 ,0.00 ,0.0482,0.0168,0,1842.00 ,51.61 
全市大樓,87.34 ,86.53 ,85.26 ,-0.0092,0.0113,0,1825.00 ,51.13 
全市大樓,86.52 ,87.34 ,85.75 ,-0.0094,0.0093,0.0057,1808.00 ,50.65 
全市大樓,89.55 ,87.80 ,86.68 ,0.035,0.0053,0.0109,1871.00 ,52.42 
全市大樓,91.46 ,89.18 ,87.85 ,0.0214,0.0156,0.0135,1911.00 ,53.54 
全市大樓,92.51 ,91.17 ,89.25 ,0.0114,0.0224,0.0159,1933.00 ,54.16 
全市大樓,93.17 ,92.38 ,90.09 ,0.0072,0.0132,0.0094,1947.00 ,54.54 
全市大樓,93.67 ,93.11 ,91.14 ,0.0053,0.008,0.0117,1958.00 ,54.83 
全市大樓,95.31 ,94.05 ,92.61 ,0.0175,0.01,0.0161,1992.00 ,55.79 
全市大樓,94.72 ,94.56 ,93.47 ,-0.0062,0.0055,0.0093,1980.00 ,55.45 
全市大樓,94.48 ,94.83 ,93.97 ,-0.0026,0.0029,0.0054,1975.00 ,55.31 
全市大樓,95.81 ,95.00 ,94.52 ,0.0141,0.0018,0.0059,2002.00 ,56.09 
全市大樓,98.53 ,96.27 ,95.42 ,0.0284,0.0134,0.0095,2059.00 ,57.68 
全市大樓,99.58 ,97.97 ,96.40 ,0.0106,0.0177,0.0103,2081.00 ,58.29 
全市大樓,99.69 ,99.26 ,97.13 ,0.0011,0.0132,0.0076,2083.00 ,58.36 
全市大樓,98.38 ,99.21 ,97.74 ,-0.0132,-0.0005,0.0063,2056.00 ,57.59 
全市大樓,97.61 ,98.56 ,98.26 ,-0.0078,-0.0066,0.0053,2040.00 ,57.14 
全市大樓,101.05 ,99.01 ,99.14 ,0.0352,0.0046,0.0089,2112.00 ,59.16 
全市大樓,101.20 ,99.95 ,99.58 ,0.0015,0.0095,0.0045,2115.00 ,59.24 
全市大樓,102.06 ,101.43 ,99.99 ,0.0085,0.0148,0.0042,2133.00 ,59.75 
全市大樓,101.90 ,101.72 ,100.36 ,-0.0015,0.0028,0.0037,2130.00 ,59.66 
全市大樓,99.75 ,101.24 ,100.59 ,-0.0211,-0.0047,0.0023,2085.00 ,58.40 
全市大樓,99.45 ,100.37 ,100.90 ,-0.0031,-0.0086,0.0031,2078.00 ,58.22 
全市大樓,102.11 ,100.44 ,101.08 ,0.0267,0.0007,0.0018,2134.00 ,59.78 
全市大樓,101.45 ,101.00 ,101.12 ,-0.0064,0.0056,0.0004,2120.00 ,59.39 
全市大樓,101.21 ,101.59 ,100.98 ,-0.0024,0.0058,-0.0014,2115.00 ,59.25 
全市大樓,98.71 ,100.45 ,100.44 ,-0.0247,-0.0112,-0.0053,2063.00 ,57.79 
全市大樓,99.21 ,99.71 ,100.35 ,0.0051,-0.0074,-0.0009,2073.00 ,58.08 
全市大樓,102.59 ,100.17 ,100.88 ,0.0341,0.0046,0.0052,2144.00 ,60.06 
全市大樓,104.34 ,102.05 ,101.25 ,0.017,0.0187,0.0037,2181.00 ,61.08 
全市大樓,103.31 ,103.41 ,101.56 ,-0.0098,0.0134,0.0031,2159.00 ,60.48 
全市大樓,102.87 ,103.51 ,101.84 ,-0.0042,0.0009,0.0027,2150.00 ,60.23 
全市大樓,101.50 ,102.56 ,102.30 ,-0.0134,-0.0091,0.0046,2121.00 ,59.42 
全市大樓,101.88 ,102.08 ,102.75 ,0.0037,-0.0047,0.0043,2129.00 ,59.64 
全市大樓,100.09 ,101.15 ,102.33 ,-0.0176,-0.0091,-0.0041,2092.00 ,58.59 
全市大樓,98.66 ,100.21 ,101.38 ,-0.0143,-0.0094,-0.0092,2062.00 ,57.76 
全市大樓,96.71 ,98.49 ,100.28 ,-0.0197,-0.0172,-0.0109,2021.00 ,56.62 
全市大樓,96.17 ,97.18 ,99.17 ,-0.0056,-0.0133,-0.0111,2010.00 ,56.30 
全市大樓,95.69 ,96.19 ,98.20 ,-0.005,-0.0102,-0.0098,2000.00 ,56.02 
全市大樓,97.30 ,96.39 ,97.44 ,0.0168,0.002,-0.0078,2034.00 ,56.96 
全市大樓,98.18 ,97.06 ,97.12 ,0.0091,0.007,-0.0033,2052.00 ,57.48 
全市大樓,95.72 ,97.07 ,96.63 ,-0.0251,0.0001,-0.005,2001.00 ,56.04 
全市大樓,94.93 ,96.28 ,96.33 ,-0.0083,-0.0081,-0.0031,1984.00 ,55.57 
全市大樓,97.43 ,96.03 ,96.54 ,0.0263,-0.0026,0.0022,2036.00 ,57.04 
全市大樓,100.43 ,97.60 ,97.33 ,0.0308,0.0164,0.0082,2099.00 ,58.80 
